"Time","Price","Open","High","Low","Vol.","Change %"
"Dec 29, 2022","12,035","12,150","12,150","12,000","621.76K","-1.31%"
"Dec 28, 2022","12,195","12,250","12,250","12,180","0.02K","-1.37%"
"Dec 27, 2022","12,365","12,380","12,380","12,285","0.03K","0.12%"
"Dec 26, 2022","12,350","12,330","12,370","12,305","303.19K","0.53%"
"Dec 23, 2022","12,285","12,370","12,370","12,275","661.05K","-1.33%"
"Dec 22, 2022","12,450","12,485","12,525","12,430","762.13K","0.57%"
"Dec 21, 2022","12,380","12,380","12,440","12,345","978.44K","0.94%"
"Dec 20, 2022","12,265","12,540","12,540","12,265","1.46M","-2.70%"
"Dec 19, 2022","12,605","12,750","12,750","12,560","0.01K","-1.29%"
"Dec 18, 2022","12,770","12,770","12,770","12,770","-","0.00%"
"Dec 16, 2022","12,770","13,000","13,000","12,765","1.65M","-2.37%"
"Dec 15, 2022","13,080","13,055","13,085","13,040","0.01K","-0.15%"
"Dec 14, 2022","13,100","13,030","13,150","13,030","6.00K","0.54%"
"Dec 13, 2022","13,030","13,035","13,085","13,010","1.30M","1.09%"
"Dec 12, 2022","12,890","12,880","12,940","12,870","649.63K","-0.58%"
"Dec 11, 2022","12,965","12,965","12,965","12,965","-","0.00%"
"Dec 09, 2022","12,965","13,085","13,100","12,945","735.96K","-0.35%"
"Dec 08, 2022","13,010","13,005","13,035","12,985","574.18K","-0.42%"
"Dec 07, 2022","13,065","13,090","13,125","13,005","5.00K","-1.28%"
"Dec 06, 2022","13,235","13,110","13,235","13,090","664.40K","0.30%"
"Dec 05, 2022","13,195","13,285","13,285","13,165","1.72M","-0.68%"
"Dec 04, 2022","13,285","13,285","13,285","13,285","-","0.00%"
"Dec 02, 2022","13,285","13,315","13,330","13,250","587.35K","-0.15%"
"Dec 01, 2022","13,305","13,320","13,385","13,280","0.00K","1.53%"
"Nov 30, 2022","13,105","13,230","13,230","13,090","1.56M","-1.09%"
"Nov 29, 2022","13,250","13,345","13,355","13,200","6.53K","-1.45%"
"Nov 28, 2022","13,445","13,455","13,470","13,415","0.01K","0.15%"
"Nov 27, 2022","13,425","13,425","13,425","13,425","-","0.00%"
"Nov 25, 2022","13,425","13,430","13,510","13,365","682.22K","-0.04%"
"Nov 24, 2022","13,430","13,575","13,575","13,425","1.10M","-1.03%"
"Nov 23, 2022","13,570","13,570","13,600","13,540","2.04M","0.89%"
"Nov 22, 2022","13,450","13,460","13,515","13,405","2.33M","0.07%"
"Nov 21, 2022","13,440","13,325","13,450","13,325","0.06K","1.43%"
"Nov 18, 2022","13,250","13,325","13,325","13,245","454.61K","-0.97%"
"Nov 17, 2022","13,380","13,295","13,380","13,245","976.03K","0.64%"
"Nov 16, 2022","13,295","13,165","13,320","13,155","905.41K","0.99%"
"Nov 15, 2022","13,165","13,190","13,215","13,130","1.78M","-0.42%"
"Nov 14, 2022","13,220","13,165","13,285","13,075","0.01K","0.53%"
"Nov 13, 2022","13,150","13,150","13,150","13,150","-","0.00%"
"Nov 11, 2022","13,150","13,645","13,645","13,075","1.38M","1.54%"
"Nov 10, 2022","12,950","12,895","12,955","12,825","1.28M","-0.92%"
"Nov 09, 2022","13,070","13,215","13,245","13,055","2.96M","-1.02%"
"Nov 08, 2022","13,205","13,305","13,310","13,185","995.22K","-0.11%"
"Nov 07, 2022","13,220","13,240","13,300","13,205","881.00K","-0.41%"
"Nov 06, 2022","13,275","13,275","13,275","13,275","-","0.00%"
"Nov 04, 2022","13,275","13,275","13,310","13,225","850.45K","-1.15%"
"Nov 03, 2022","13,430","13,410","13,435","13,390","0.05K","-2.18%"
"Nov 02, 2022","13,730","13,715","13,750","13,695","0.00K","-0.83%"
"Nov 01, 2022","13,845","13,850","13,890","13,795","1.99M","-0.36%"
"Oct 31, 2022","13,895","13,820","13,895","13,815","1.18M","3.23%"
"Oct 28, 2022","13,460","13,510","13,515","13,435","3.07M","-1.90%"
